year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2011,Leicester,37402,0.9140167793920498,129.96167953667953,37,0.9140167793920498,1
2011,Leicestershire,37958,1.0232398890208378,55.96097592883307,91,1.0232398890208378,1
2011,Lewisham,83759,0.7726061774614429,514.7892526455026,24,0.7726061774614429,1
2011,Lincolnshire,24254,1.1122045483969747,53.47771070869663,71,1.1122045483969747,1
2011,Liverpool,39860,0.7812156814983527,71.60653344671202,56,0.7812156814983527,1
2011,Luton,5474,0.8562107563366198,33.75200501253133,19,0.8562107563366198,1
2011,Manchester,88992,0.9544766580612061,165.5588904151404,52,0.9544766580612061,1
2011,Medway,7981,0.8549297678790169,48.834920634920636,28,0.8549297678790169,1
2011,Merthyr Tydfil,443,1.355492335912736,6.025555555555555,15,1.355492335912736,1
2011,Merton,22397,0.7541236252241585,178.1064484126984,16,0.7541236252241585,1
2011,Middlesbrough,10082,0.9424834876192996,26.791468253968254,30,0.9424834876192996,1
2011,Midlothian,3156,0.6973946776166999,22.22984126984127,10,0.6973946776166999,1
2011,Milton Keynes,16924,0.9904432584612519,41.60013550135501,41,0.9904432584612519,1
2011,Monmouthshire,2650,1.0556488344699422,11.967105263157896,19,1.0556488344699422,1
2011,Moray,1027,1.022930476057982,11.413800705467372,9,1.022930476057982,1
2011,Neath Port Talbot,4774,1.2959854015240242,33.90037037037037,15,1.2959854015240242,1
2011,Newcastle upon Tyne,24844,1.1379947809502402,58.66014492753623,46,1.1379947809502402,1
